From Lee, Herbst, Pineau des Forets, Roueff, Le Bourlot
A&A 1996, 311, 690

H2 self-shielding

 N(H2)       Theta[N(H2)]

 1.000Q-60   1.000Q+00      0.000Q+00   1.000Q+00
 3.690Q+11   9.983Q-01
 3.715Q+12   9.853Q-01
 3.948Q+13   8.761Q-01
 1.233Q+14   7.199Q-01
 2.536Q+14   5.728Q-01
 4.342Q+14   4.455Q-01
 6.653Q+14   3.431Q-01
 6.689Q+14   3.418Q-01
 9.075Q+14   2.732Q-01
 1.234Q+15   2.110Q-01
 1.631Q+15   1.619Q-01
 2.105Q+15   1.236Q-01
 2.363Q+15   1.084Q-01
 2.899Q+15   8.447Q-02
 3.207Q+15   7.410Q-02
 3.848Q+15   5.774Q-02
 4.636Q+15   4.416Q-02
 5.547Q+15   3.390Q-02
 6.604Q+15   2.625Q-02
 7.855Q+15   2.048Q-02
 9.368Q+15   1.606Q-02
 1.122Q+16   1.264Q-02
 1.352Q+16   9.987Q-03
 1.643Q+16   7.937Q-03
 2.017Q+16   6.343Q-03
 2.515Q+16   5.088Q-03
 3.190Q+16   4.089Q-03
 4.128Q+16   3.283Q-03
 5.439Q+16   2.640Q-03
 7.315Q+16   2.130Q-03
 1.009Q+17   1.725Q-03
 1.432Q+17   1.397Q-03
 2.092Q+17   1.129Q-03
 3.123Q+17   9.097Q-04
 4.738Q+17   7.340Q-04
 5.388Q+17   6.883Q-04
 8.935Q+17   5.377Q-04
 1.381Q+18   4.352Q-04
 2.164Q+18   3.475Q-04
 3.330Q+18   2.771Q-04
 5.024Q+18   2.205Q-04
 7.404Q+18   1.753Q-04
 9.029Q+18   1.549Q-04
 1.316Q+19   1.210Q-04
 1.813Q+19   9.666Q-05
 2.453Q+19   7.705Q-05
 3.248Q+19   6.148Q-05
 4.216Q+19   4.904Q-05
 5.370Q+19   3.909Q-05
 6.722Q+19   3.112Q-05
 8.277Q+19   2.473Q-05
 9.894Q+19   1.997Q-05
 1.186Q+20   1.578Q-05
 1.404Q+20   1.244Q-05
 1.644Q+20   9.769Q-06
 1.908Q+20   7.634Q-06
 2.197Q+20   5.932Q-06
 2.510Q+20   4.581Q-06
 2.849Q+20   3.515Q-06
 3.214Q+20   2.679Q-06
 3.604Q+20   2.029Q-06
 4.019Q+20   1.527Q-06
 4.456Q+20   1.144Q-06
 4.915Q+20   8.523Q-07
 5.393Q+20   6.332Q-07
 5.886Q+20   4.693Q-07
 6.392Q+20   3.475Q-07
 6.909Q+20   2.574Q-07
 7.433Q+20   1.907Q-07
 7.965Q+20   1.413Q-07
 8.505Q+20   1.047Q-07
 9.056Q+20   7.739Q-08
 9.627Q+20   5.677Q-08
 1.011Q+21   4.386Q-08
 1.068Q+21   3.227Q-08
 1.125Q+21   2.385Q-08
 1.185Q+21   1.750Q-08
 1.250Q+21   1.248Q-08
 1.327Q+21   8.389Q-09
 1.428Q+21   5.026Q-09
 1.578Q+21   2.382Q-09
 1.851Q+21   6.259Q-10
 2.128Q+21   1.653Q-10
 2.298Q+21   7.399Q-11
 2.389Q+21   4.824Q-11
 2.459Q+21   3.474Q-11
 2.519Q+21   2.633Q-11
 2.571Q+21   2.069Q-11
 2.618Q+21   1.663Q-11
 2.707Q+21   1.099Q-11
 2.790Q+21   7.506Q-12
 2.887Q+21   4.825Q-12
 3.001Q+21   2.864Q-12
 3.139Q+21   1.534Q-12
 3.303Q+21   7.324Q-13
 3.497Q+21   3.087Q-13
 3.722Q+21   1.135Q-13
 3.983Q+21   3.591Q-14
 4.283Q+21   9.689Q-15
 4.644Q+21   2.045Q-15
 5.127Q+21   2.618Q-16
 5.945Q+21   8.918Q-18
 8.205Q+21   3.041Q-21
 1.015Q+22   1.739Q-23
 1.000Q+24   1.000Q-60


CO self-shielding

 N(CO)       Theta1[N(CO)]

 1.000Q-60   1.000Q+00      0.000Q+00   1.000Q+00
 1.000Q+12   9.990Q-01
 1.650Q+12   9.981Q-01
 2.995Q+12   9.961Q-01
 5.979Q+12   9.912Q-01
 1.313Q+13   9.815Q-01
 3.172Q+13   9.601Q-01
 8.429Q+13   9.113Q-01
 2.464Q+14   8.094Q-01
 7.923Q+14   6.284Q-01
 1.670Q+15   4.808Q-01
 2.595Q+15   3.889Q-01
 4.435Q+15   2.827Q-01
 6.008Q+15   2.293Q-01
 8.952Q+15   1.695Q-01
 1.334Q+16   1.224Q-01
 1.661Q+16   1.017Q-01
 2.274Q+16   7.764Q-02
 3.115Q+16   5.931Q-02
 4.266Q+16   4.546Q-02
 5.843Q+16   3.506Q-02
 8.002Q+16   2.728Q-02
 1.096Q+17   2.143Q-02
 1.501Q+17   1.700Q-02
 2.055Q+17   1.360Q-02
 2.815Q+17   1.094Q-02
 4.241Q+17   8.273Q-03
 6.389Q+17   6.283Q-03
 9.625Q+17   4.773Q-03
 1.450Q+18   3.611Q-03
 2.184Q+18   2.704Q-03
 3.291Q+18   1.986Q-03
 4.124Q+18   1.657Q-03
 5.685Q+18   1.258Q-03
 7.838Q+18   9.332Q-04
 1.080Q+19   6.745Q-04
 1.285Q+19   5.596Q-04
 1.681Q+19   4.123Q-04
 2.199Q+19   2.982Q-04
 2.538Q+19   2.490Q-04
 3.222Q+19   1.827Q-04
 4.091Q+19   1.324Q-04
 5.193Q+19   9.473Q-05
 5.893Q+19   7.891Q-05
 7.356Q+19   5.668Q-05
 8.269Q+19   4.732Q-05
 9.246Q+19   3.967Q-05
 1.031Q+20   3.327Q-05
 1.148Q+20   2.788Q-05
 1.277Q+20   2.331Q-05
 1.419Q+20   1.944Q-05
 1.578Q+20   1.619Q-05
 1.000Q+30   1.000Q-60

 N(H2)       Theta2[N(H2)]

 1.000Q-60   1.000Q+00      0.000Q+00   1.000Q+00
 2.666Q+13   9.999Q-01
 3.801Q+14   9.893Q-01
 6.634Q+15   9.678Q-01
 8.829Q+16   9.465Q-01
 9.268Q+17   9.137Q-01
 1.007Q+18   9.121Q-01
 2.021Q+18   8.966Q-01
 3.036Q+18   8.862Q-01
 4.051Q+18   8.781Q-01
 5.066Q+18   8.716Q-01
 6.082Q+18   8.660Q-01
 7.097Q+18   8.612Q-01
 8.112Q+18   8.569Q-01
 9.341Q+18   8.524Q-01
 1.014Q+19   8.497Q-01
 2.030Q+19   8.262Q-01
 3.045Q+19   8.118Q-01
 4.061Q+19   8.011Q-01
 5.076Q+19   7.921Q-01
 6.092Q+19   7.841Q-01
 7.107Q+19   7.769Q-01
 8.123Q+19   7.702Q-01
 9.353Q+19   7.626Q-01
 1.015Q+20   7.579Q-01
 2.031Q+20   7.094Q-01
 3.047Q+20   6.712Q-01
 4.062Q+20   6.378Q-01
 5.078Q+20   6.074Q-01
 6.094Q+20   5.791Q-01
 7.109Q+20   5.524Q-01
 8.125Q+20   5.271Q-01
 9.355Q+20   4.977Q-01
 1.016Q+21   4.793Q-01
 2.031Q+21   2.837Q-01
 3.047Q+21   1.526Q-01
 4.063Q+21   7.774Q-02
 5.078Q+21   3.952Q-02
 6.094Q+21   2.093Q-02
 7.110Q+21   1.199Q-02
 8.125Q+21   7.666Q-03
 9.355Q+21   5.333Q-03
 1.016Q+22   4.666Q-03
 1.000Q+55   1.000Q-60

 Av          Theta3[Av]

 1.000Q-60   1.000Q+00     0.000Q+00   1.000Q+00
 1.000Q-07   1.000Q+00
 1.000Q-06   1.000Q+00
 1.000Q-05   1.000Q+00
 1.000Q-04   9.991Q-01
 1.000Q-03   9.887Q-01
 1.086Q-03   9.877Q-01
 2.171Q-03   9.755Q-01
 3.257Q-03   9.638Q-01
 4.343Q-03   9.524Q-01
 5.429Q-03   9.413Q-01
 6.514Q-03   9.306Q-01
 7.600Q-03   9.202Q-01
 8.686Q-03   9.101Q-01
 1.000Q-02   8.983Q-01
 1.086Q-02   8.908Q-01
 2.171Q-02   8.081Q-01
 3.257Q-02   7.422Q-01
 4.343Q-02   6.875Q-01
 5.429Q-02   6.404Q-01
